종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
코오롱인더,"80,700","상승1,900",+2.41%,"87,149","6,989","22,208"
코스맥스,"193,800","하락2,500",-1.27%,"7,485","1,461","21,995"
미스토홀딩스,"40,350","하락1,850",-4.38%,"32,792","1,324","21,423"
아모레퍼시픽홀딩스,"28,000",하락350,-1.23%,"20,435",573,"21,408"
BGF리테일,"123,300",상승400,+0.33%,"5,417",664,"21,311"
현대백화점,"84,000","하락2,800",-3.23%,"10,691",912,"19,008"
대웅제약,"163,200","상승3,800",+2.38%,"7,317","1,186","18,909"
한국콜마,"78,100","하락1,500",-1.88%,"33,582","2,635","18,436"
SK아이이테크놀로지,"21,700",하락400,-1.81%,"27,950",609,"17,748"
동원산업,"40,050",상승50,+0.13%,"6,959",278,"17,681"
금호타이어,"6,100",하락120,-1.93%,"71,626",437,"17,523"
녹십자,"149,700",상승700,+0.47%,"7,158","1,074","17,495"
GS리테일,"20,800",상승200,+0.97%,"16,437",341,"17,390"
효성티앤씨,"391,000","상승6,000",+1.56%,"9,230","3,646","16,921"
호텔신라,"42,100",하락600,-1.41%,"41,143","1,733","16,523"
파라다이스,"17,350",상승380,+2.24%,"158,243","2,731","16,071"
오리온홀딩스,"24,950",상승100,+0.40%,"19,707",489,"15,630"
오뚜기,"365,500","하락5,000",-1.35%,"1,012",369,"14,649"
대웅,"25,100",상승800,+3.29%,"28,662",713,"14,594"
롯데정밀화학,"51,600","상승1,000",+1.98%,"13,598",699,"13,313"
태광산업,"1,188,000","하락23,000",-1.90%,449,535,"13,227"
종근당,"92,100","상승2,300",+2.56%,"11,255","1,030","12,712"
DL,"60,400","상승2,200",+3.78%,"51,085","3,075","12,657"
한일시멘트,"16,850",하락160,-0.94%,"14,139",239,"12,392"
하이트진로,"16,560",하락100,-0.60%,"41,740",691,"11,614"
영풍,"61,900",하락900,-1.43%,"10,203",630,"11,190"
롯데칠성,"118,700","하락1,200",-1.00%,"2,406",286,"11,014"
더블유게임즈,"50,200",보합0,0.00%,"3,381",169,"10,629"
롯데웰푸드,"114,200",하락600,-0.52%,"3,009",343,"10,626"
지역난방공사,"91,400",상승200,+0.22%,"10,215",932,"10,583"
한샘,"43,400",하락200,-0.46%,"3,575",154,"10,214"
HS효성첨단소재,"222,500","하락2,000",-0.89%,"1,703",380,"9,968"
에스디바이오센서,"8,030",상승100,+1.26%,"22,996",184,"9,776"
SK케미칼,"55,900",하락300,-0.53%,"6,004",338,"9,670"
대한유화,"134,400","하락1,300",-0.96%,"5,393",727,"8,736"
세방전지,"60,600",하락800,-1.30%,"3,682",223,"8,399"
후성,"7,390",상승50,+0.68%,"79,065",582,"7,926"
세아제강지주,"184,300","하락2,500",-1.34%,"11,014","2,081","7,633"
동원시스템즈,"26,150",하락500,-1.88%,"10,843",284,"7,581"
TKG휴켐스,"18,530",하락130,-0.70%,"9,966",184,"7,575"
GKL,"11,990",하락10,-0.08%,"37,892",452,"7,416"
대상,"21,000",하락50,-0.24%,"25,008",523,"7,276"
녹십자홀딩스,"14,160",상승30,+0.21%,"20,644",294,"6,659"
미원상사,"136,000",하락600,-0.44%,"1,411",192,"6,460"
미원에스씨,"124,900","하락3,600",-2.80%,"1,607",201,"6,245"
율촌화학,"23,800",상승100,+0.42%,"16,321",386,"5,902"
코스모화학,"15,300",상승110,+0.72%,"51,448",786,"5,876"
아세아,"274,500","하락4,000",-1.44%,307,84,"5,689"
